Teacher_ID,First_Name,Last_Name,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0000,Ramon,Aquino,Region VII,30,22,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0001,Luis,Villanueva,Region XII,39,11,PhD STEM,Unrelated / Not Specified,Physics,Level 1,High
2026-STAR-0002,Ricardo,Santos,Region VII,46,14,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0003,Manuel,Fernandez,NCR,54,11,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0004,Ana,Fernandez,Region X,27,10,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0005,Jose,Rizal,CAR,50,24,Master of Arts in Ed,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0006,Luz,Alvarez,Region X,46,31,Bachelor of Secondary Education,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0007,Pilar,Villanueva,Region IX,28,13,Bachelor of Secondary Education,General Science,Chemistry,Level 1,High
2026-STAR-0008,Jose,Tolentino,Region VII,42,3,Master of Arts in Ed,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0009,Luis,Ramos,Region X,50,6,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0010,Rosa,Lopez,Region IX,42,29,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0011,Ricardo,Cruz,Region XII,32,15,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0012,Carlos,Santos,Region IV-A,49,6,Master of Arts in Ed,Mathematics,Chemistry,Level 1,High
2026-STAR-0013,Ana,Rizal,Region IV-B,25,31,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 1,High
2026-STAR-0014,Juan,Rizal,Region X,24,18,BS Science,Biology,Chemistry,Level 1,High
2026-STAR-0015,Eduardo,Villanueva,Region III,44,29,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0016,Ana,Torres,NCR,37,9,PhD STEM,Unrelated / Not Specified,Mathematics,Level 3,High
2026-STAR-0017,Luz,Torres,Region XI,40,5,BS Science,Physics,Biology,Level 1,High
2026-STAR-0018,Pedro,Aquino,Region XII,25,25,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0019,Maria,Mendoza,Region VIII,24,3,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0020,Beatriz,Gonzales,Region IV-A,49,23,PhD STEM,General Science,Biology,Level 1,High
2026-STAR-0021,Ricardo,Navarro,Region II,28,27,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0022,Antonio,Garcia,Region V,34,8,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0023,Rosa,Garcia,Region X,29,14,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0024,Juan,Aquino,Region VI,42,14,PhD STEM,General Science,Chemistry,Level 1,High
2026-STAR-0025,Pilar,Perez,NCR,23,28,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0026,Luz,Navarro,NCR,27,22,PhD STEM,Unrelated / Not Specified,Mathematics,Level 3,High
2026-STAR-0027,Luz,Villanueva,Region XI,53,14,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0028,Miguel,Navarro,Region VII,54,25,BS Science,Unrelated / Not Specified,General Science,Level 1,High
2026-STAR-0029,Sofia,Mendoza,CAR,23,14,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0030,Jose,Aquino,Region IX,50,5,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0031,Elena,Villanueva,Region IV-A,48,8,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0032,Luz,Tolentino,Region V,35,19,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0033,Carlos,Aquino,Region II,57,30,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0034,Luis,Rodriguez,Region XIII,40,11,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0035,Ana,Lopez,Region XI,47,24,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0036,Jose,Rizal,Region II,45,7,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0037,Beatriz,Navarro,Region II,31,32,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0038,Antonio,Tolentino,Region VI,56,17,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0039,Pedro,Aquino,Region VII,49,10,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0040,Pilar,Lopez,BARMM,32,6,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0041,Teresa,Dela Cruz,Region IV-A,37,27,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0042,Carlos,Torres,Region X,45,8,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0043,Ramon,Dela Cruz,Region VIII,33,0,Bachelor of Secondary Education,Physics,Chemistry,Level 1,High
2026-STAR-0044,Eduardo,Ramos,Region IX,56,12,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0045,Luz,Alvarez,Region V,24,11,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0046,Carmen,Tolentino,Region I,35,22,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0047,Eduardo,Tolentino,Region IX,38,32,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0048,Manuel,Tolentino,Region VI,36,31,PhD STEM,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0049,Sofia,Mendoza,Region IV-A,27,21,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0050,Antonio,Torres,NCR,53,18,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0051,Carmen,Perez,CAR,48,23,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0052,Jose,Aquino,Region X,55,18,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0053,Ana,Ramos,Region VIII,39,5,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0054,Ricardo,Torres,Region IX,54,25,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0055,Rosa,Gonzales,Region X,23,20,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0056,Manuel,Gonzales,Region VIII,24,0,PhD STEM,General Science,General Science,Level 1,Low
